Конфеты ДаЁжь,6,26,57,490,25,,,,
Чипсы Pringles BBQ Steak,"4,4","31,2","59,2","534,4",110,,,,
Напиток Rich Fleur,0,0,6,3,330,,,,
Субито,"15,7","19,5",21,"320,5",1600,,,,
Смайк 32,"10,3","5,54","25,6",200,250,,,,
Субито Времена года,10,15,25,298,1100,,,,
Субито Пепперони,"15,7","19,5",21,320,1000,,,,
Курзе,"8,6","6,2","27,6","200,6",,,,,
ОхПироги Креатопита,13,"17,7","21,2","296,2",900,,,,
Сырные вафли,"10,79","16,07","18,67",262,"59,5",,,,
Картофельные вафли с цукини,"9,31","7,34","31,38",229,300,,,,
Конфета Крокант,"6,2","36,7","53,5",550,7,,,,
АЯН Тархун,0,0,10,40,650,,,,
Мороженое Домик в деревне пломбир с шоколадной крошкой 80 г,3,15,25,250,80,,,,
RomBabaBellini Лимонный пирог,"5,43","23,47","52,88",445,75,,,,
Компот из сухофруктов,"0,8",0,"14,2",60,,,,,
Клубника протертая с сахаром,0,0,55,220,,,,,
Мороженое с клубникой и маршмеллоу,4,12,21,210,150,,,,
Паста Помодорро,"7,666666667",9,28,143,300,,,,
Сырные палочки в панировке,17,15,22,290,100,,,,
Круассан с шоколадом,"8,65","27,15","47,8",452,90,,,,
Паста Карбонара,11,"15,1","26,9",219,,,,,
Bounty Minis,"4,2","23,9","64,5",493,27,"133,11",,,
Шоколадный эклер,"9,06","41,74","47,32",598,55,,,,
"Пирожное ""Домик муравья""","11,41","32,76","78,84",640,110,,,,
Бутерброд №9 Копчёная грудка и сыр,"9,9",10,"25,9",273,220,,,,
Бутерброд №12 Куриное филе в панировке сыр,"9,9",10,"25,9",273,220,,,,
Бутерброд №16 Сарделька обжаренная и сыр,"9,9",10,"25,9",273,220,,,,
Бутерброд №17 Охотничьи колбаски и сыр,"9,9",10,"25,9",273,220,,,,
Лапша Доширак 90г,9,19,62,460,90,,,,
Лапша Роллтон 85г,7,19,53,410,85,,,,
Лапша Биг Бон,8,19,52,410,75,,,,
Сахар,0,0,100,399,"5,5",,,,
Пирожное Картошка,"9,37","35,73","52,09",545,110,,,,
Коврижка с творогом и вишней,"9,46","17,27","40,04",360,100,,,,
Пирожок с картошкой и грибами жареный,"6,5","11,5","28,6","244,2",150,,,,
Pulpy Апельсин,0,0,"11,6",46,450,,,,
